en,zh,note_zh,user
case,n. 盒子/案件,"n.例子；情况；案例；（辩论或诉讼）论据；箱<br>v.装箱；踩点；仔细检查<br><br><i>1</i>. Talk of wasting money, my buying this car is a <em><em>case</em></em> in point.<br>谈到浪费钱财,我买这台车就是个恰当的例子。<br><i>2</i>. In your <em><em>case</em></em>, we are prepared to be lenient.<br>根据你的情况，我们拟予从宽处理<br><i>3</i>. But that is not always the <em><em>case</em></em>, sometimes the table can turn.<br>但事情并不一定都是这样,有时情况会发生改变。<br><i>4</i>. The <em><em>case</em></em> involved charges of police corruption.<br>这个案子涉及对警方腐败的控诉。<br><i>5</i>. The goods have been <em><em>case</em></em>d up for transport.<br>货物已装箱待运。<br>",yuhui
prevent ... from .,v. 防止,<br><br>,yuhui
decay,v. 腐爛,v.(使)衰退；(使)腐败；(使)腐烂<br>n.衰退；腐烂；腐败<br><br><i>1</i>. Naomi: Your entire body is begining to <em><em>decay</em></em>.<br>直美:你的整个身体都在衰退。<br><i>2</i>. What made the Roman Empire <em><em>decay</em></em>?<br>罗马帝国为何衰亡？<br><i>3</i>. The dampness of the climate <em><em>decay</em></em>ed the books.<br>气候潮湿，把书都霉坏了。<br><i>4</i>. The vegetables have begun to <em><em>decay</em></em>.<br>那些蔬菜已开始腐烂。<br><i>5</i>. His mental <em><em>decay</em></em> is distressing.<br>他的智力衰退令人苦恼。<br>,yuhui
arrange,v. 安排,"vt.整理；安排；计划；改编(乐曲)<br>vi.协商；计划<br><br><i>1</i>. You must <em><em>arrange</em></em> these books in alphabetical order.<br>你要把这些书按字母顺序排好。<br><i>2</i>. I have <em><em>arrange</em></em>d one of my staff to meet you at the airport.<br>我已经安排好一个职员到飞机场接你。<br><i>3</i>. If you can <em><em>arrange</em></em> the tourist destinations for me, I will be very grateful.<br>如果你能为我计划一下,我将不胜感激。<br><i>4</i>. I have <em><em>arrange</em></em>d with the neighbours about taking care of the cat.<br>我已和邻居们商量好照顾猫咪的事情。<br>",yuhui
neatly,v. 整齊,adv.整洁地；熟练地<br><br><i>1</i>. Children must learn to write <em><em>neatly</em></em>.<br>孩子们必须学会整洁地写字。<br><i>2</i>. He added up the list of figures and ruled it off <em><em>neatly</em></em>.<br>他将那一栏数字加起来，之后很整洁地在下面划了一条直线。<br>,yuhui
experience,v. 經歷,n.经验；经历<br>v.经历；体验；感受<br><br><i>1</i>. He has had no previous <em><em>experience</em></em> in this kind of job.<br>他从前没有做这种工作的经验。<br><i>2</i>. I know from my own <em><em>experience</em></em> how difficult the work can be.<br>从我自己的经验我明白这项工作会有多难。<br><i>3</i>. I had a singular <em><em>experience</em></em> in Africa.<br>我在非洲时有过一次奇特的经历。<br><i>4</i>. The shipwreck was a harrowing <em><em>experience</em></em>.<br>那次船难是一个惨痛的经历。<br><i>5</i>. You will <em><em>experience</em></em> a dream of fantasy.<br>你将会经历一个梦幻之旅。<br>,yuhui
mind-boggling,adj. 令人非常驚訝,adj.<非正式>令人难以置信的，令人难以理解的<br><br><i>1</i>. The interplay between the two characters is mind boggling.<br>之间的相互作用牢记两个字符是令人难以置信。<br><i>2</i>. The mind boggles at the idea of life on the other planets of the solar system.<br>在太阳系其他行星上有生命存在的想法，令人难以置信。<br>,yuhui
western,adj. 西方的,adj.西方的；西洋的；西部的<br>n.西方人；西部片；西部小说<br><br><i>1</i>. Britain has allied itself with other <em><em>western</em></em> powers for trade and defence.<br>英国与其他西方强国结成了贸易及防御联盟。<br><i>2</i>. Silk handkerchiefs embroidered by hand sell well in the Western market.<br>手绣的丝制手帕在西方市场销路很好。<br><i>3</i>. America is a <em><em>western</em></em> country.<br>美国是一个西方国家。<br><i>4</i>. How does Chinese chess differ from <em><em>western</em></em> chess?<br>象棋和西洋棋有什么不同?<br><i>5</i>. India is a mysterious land in the mind of Western.<br>在西方人的心目中，印度是一片神秘的土地。<br>,yuhui
as well as ,n. 和,也，还，并且，和…一样；不但…而且（谓语与第一主语一致）<br><br><i>1</i>. He is a friend in word <em><em>as well as</em></em> in deed.<br>他是个言行如一的朋友。<br><i>2</i>. He shared in my sorrows <em><em>as well as</em></em> in my joys.<br>他分担我的快乐也分享我的悲伤。<br>,yuhui
disgusting,adj. 令人作嘔,"adj.令人厌恶的<br><br><i>1</i>. That's <em><em>disgusting</em></em>.<br>真讨厌。<br><i>2</i>. His speech was long, tedious and <em><em>disgusting</em></em>.<br>他的讲话冗长，叫人反感。<br><i>3</i>. His deceit is <em><em>disgusting</em></em>; he took everybody in!<br>他的欺诈手段令人憎恶，弄得人人上当！<br><i>4</i>. His <em><em>disgusting</em></em> jokes gave everybody the pip.<br>他那些令人作呕的笑话弄得大家都不痛快。<br>",yuhui
radiation,n.  輻射,"n.辐射；放射线<br><br><i>1</i>. Radiation reached unheard-of levels.<br>辐射作用已达到前所未有的程度。<br><i>2</i>. The most terrifying aspect of nuclear bombing is <em><em>radiation</em></em>.<br>核弹轰炸最可怕的一面是辐射。<br><i>3</i>. In the accident, the workers received a heavy dose of <em><em>radiation</em></em>.<br>在这次事故中，工人受到大剂量的辐射。<br><i>4</i>. The news of the <em><em>radiation</em></em> leak caused widespread public alarm.<br>辐射泄露的消息引起了公众的普遍恐慌。<br>",yuhui
civilian,n. 平民,adj.平民的<br>n.罗马法专家；平民<br><br><i>1</i>. He resigned his commission to take up a <em><em>civilian</em></em> job.<br>他辞去军职而从事平民工作。<br><i>2</i>. People are indignant by their shooting of innocent <em><em>civilian</em></em>s.<br>对于他们枪杀无辜平民，人们感到义愤填膺。<br><i>3</i>. A <em><em>civilian</em></em> was killed by a stray bullet.<br>一个平民被流弹打死。<br>,yuhui
fancy,adj. 高貴的,"adj.华丽装饰的；复杂的；引人注目的；时髦的；昂贵的；好的<br>n.喜爱；幻想；想像力<br>vt.想象；希望；迷恋<br><br><i>1</i>. She wants to buy a handbag, not <em><em>fancy</em></em> but strong.<br>我想买一个手提包不要花俏,而要耐用。<br><i>2</i>. These <em><em>fancy</em></em> arguments befuddled us.<br>这些复杂的论据令我们疑惑不已。<br><i>3</i>. All eyes were rested on the <em><em>fancy</em></em> car.<br>所有的眼神都注视那部新奇的车。<br><i>4</i>. A <em><em>fancy</em></em> hairstyle will be great for a party.<br>参加晚会梳个时尚发型很不错。<br><i>5</i>. The painting took his <em><em>fancy</em></em>, so he bought it.<br>这幅画被他看中了,所以他就把它买了下来。<br><i>6</i>. I <em><em>fancy</em></em> they're getting on well with each other.<br>我猜想他们相处得不错。<br>",yuhui
give us a treat,v. 請客,<br><br>,yuhui
make a reservation,v. 訂位,,yuhui
napkin,n. 餐巾,"n.餐巾；一小块布或毛巾；卫生巾<br><br><i>1</i>. I need another plate and a <em><em>napkin</em></em>.<br>我再要一只碟子和一条餐巾。<br><i>2</i>. He wipes his mouth on the <em><em>napkin</em></em>.<br>他用餐巾擦了擦嘴，<br><i>3</i>. The mother laid a piece of <em><em>napkin</em></em> under the baby's body.<br>这位母亲在婴儿的身体下面铺了一块尿布。<br><i>4</i>. According to the demand, it can produce ultra-thin cotton-core or leakage Barrier sanitary <em><em>napkin</em></em>.<br>根据要求可装配超薄棉芯卫生巾，可装配立体护围面料成型。<br>",yuhui
starter,n. 前菜，開始,"n.起动机；发射架；开端；发起者；调度员；（竞赛的)参加者；（起跑或开车)发令员；开胃菜<br><br><i>1</i>. From the point of <em><em>starter</em></em> designing, it gives out the technical problems necessary to be solved.<br>并从永磁起动机设计的角度出发，提出了亟待解决的技术问题。<br><i>2</i>. In this paper, the present situation of <em><em>starter</em></em>s commonly used in engineering vehicles are introduced, some measures for improving the performance of the <em><em>starter</em></em> are proposed.<br>介绍了目前工程车上常用起动机的现状，从技术角度提出了改进起动机性能的若干措施。<br><i>3</i>. His speech was the party <em><em>starter</em></em>.<br>他的演说是宴会的开端。<br><i>4</i>. The <em><em>starter</em></em> fired his starting gun.<br>发令员鸣响起跑枪。<br>",yuhui
anxiously,adj. 緊張地,adv.焦急地；忧虑地；担心地<br><br><i>1</i>. Everybody is waiting <em><em>anxiously</em></em> for the doctor.<br>大家都在焦急地等着医生。<br><i>2</i>. Tomorrow he will be watching her <em><em>anxiously</em></em>.<br>明天他将焦急地注视着她。<br><i>3</i>. She read through the casualty list <em><em>anxiously</em></em>.<br>她忧虑地把伤亡人员名单从头到尾看了一遍。<br><i>4</i>. She looked <em><em>anxiously</em></em> at her parents as if entreating forgiveness.<br>她忧虑地看著她的双亲，好像在请求宽恕。<br>,yuhui
relief,n. 放心,"n.减轻；解除；轻松；浮雕；救济(品)；安慰；替代<br>adj.提供救济的；文本的<br><br><i>1</i>. The pills gave her some <em><em>relief</em></em>.<br>药片减轻她一些痛苦。<br><i>2</i>. This medicine will give you quick <em><em>relief</em></em>.<br>这种药将迅速解除你的病痛。<br><i>3</i>. A doctor's life is consecrated to the <em><em>relief</em></em> of suffering.<br>医师的一生奉献于解除世人的疾苦。<br><i>4</i>. His jokes provided some comic <em><em>relief</em></em> in what was really a dull speech.<br>他说的笑话给极沉闷的讲话增加几分轻松气氛。<br>",yuhui
throughout,整個,prep.遍及；贯穿<br>adv.自始至终；到处<br><br><i>1</i>. The disease spread <em><em>throughout</em></em> the country.<br>这种疾病蔓延全国。<br><i>2</i>. She remained cheerful <em><em>throughout</em></em> the trip.<br>旅行中她始终兴致勃勃。<br><i>3</i>. It snowed <em><em>throughout</em></em> the night.<br>雪整整下了一夜。<br><i>4</i>. Throughout history empires have waxed and waned.<br>历史上各个帝国革故鼎新均有兴衰。<br><i>5</i>. The prince remained loyal <em><em>throughout</em></em>.<br>王子自始至终忠贞不渝。<br>,yuhui
delighted,adj. 高興,"adj.高兴的；快乐的<br>v.快乐；喜悦<br><br><i>1</i>. I'd be most <em><em>delighted</em></em> if you will.<br>如果您愿意，我会非常高兴的。<br><i>2</i>. Lennie's face broke into a <em><em>delighted</em></em> smile.<br>伦尼的脸辗然露出高兴的笑容。<br><i>3</i>. I am <em><em>delighted</em></em> to see all so happy.<br>看见大家这么快乐我很高兴。<br><i>4</i>. The bear was <em><em>delighted</em></em> and began to dance happily.<br>那只熊听了很高兴，就开始快乐地跳舞。<br>",yuhui
escalator,n. 自動扶梯,"n.自动扶梯<br><br><i>1</i>. Take the <em><em>escalator</em></em> over there down one floor.<br>在那边下一层楼后乘自动扶梯。<br><i>2</i>. Appointed mechanical engineering for drive,skirting ,cover design and <em><em>escalator</em></em> nonstandard design.<br>期间作为机械工程师主要负责自动扶梯传动系统与围裙板，内外盖板的设计。<br>",yuhui
booth,n. 票站,"n.货摊；电话亭；小间<br><br><i>1</i>. Would you please watch over my <em><em>booth</em></em>?<br>请您照料一下我的摊位好吗?<br><i>2</i>. I'll give him a call from the phone <em><em>booth</em></em> on the corner.<br>我到街角的电话亭给他打个电话。<br><i>3</i>. It happened that there was a telephone <em><em>booth</em></em> nearby.<br>碰巧在附近有个公用电话亭。<br><i>4</i>. They sat in a corner <em><em>booth</em></em>, away from other diners.<br>他们坐在餐厅角落的小隔间里，与别的就餐者分开。<br>",yuhui
usher,n. 帶位員,n.带位员；招待员<br>vt.引导；引入<br>vi.做招待；担任引座员<br><br><i>1</i>. The <em><em>usher</em></em> conducted us to our seats.<br>领位员带我们到座位上。<br><i>2</i>. An <em><em>usher</em></em> stood at the door of the theater giving out programs.<br>有位招待员在剧场的大门口散发节目单。<br><i>3</i>. The key is to create a critical mass of leaders to <em><em>usher</em></em> in change.<br>这一切的关键在于，要培养出数量足够庞大的领导人来引导变革。<br><i>4</i>. I will ask Mary to <em><em>usher</em></em> you out.<br>我会让玛丽把你领出去的。<br><i>5</i>. The <em><em>usher</em></em> came down the aisle towards them.<br>引座员沿著通道向他们走去。<br>,yuhui
steps,n. 梯級,n.太阳热离子电源系统（=Solar Thermionic Electrical Power System ）；台阶，步骤（名词step的复数形式）<br><br>,yuhui
rude,adj. 無禮,"adj.粗鲁无礼的；原始的；未加工的；粗糙的；猛烈的<br><br><i>1</i>. It's strange for her to be so <em><em>rude</em></em>.<br>真奇怪，她竟然会如此粗暴无礼。<br><i>2</i>. Don't be so <em><em>rude</em></em> to your parents!<br>别对你的父母这么没礼貌！<br><i>3</i>. It's very <em><em>rude</em></em> of her to leave without telling us.<br>她不向我们打声招呼就走了，这是非常不礼貌的。<br><i>4</i>. These <em><em>rude</em></em> tribesmen live in the rain forest.<br>这些原始部落人生活在雨林之中。<br>",yuhui
whisper,v. 私語,"n.低语；窃窃私语；飒飒的声音<br>vi.低声说；窃窃私语；飒飒地响<br>vt.耳语；私语<br><br><i>1</i>. There is no word, no <em><em>whisper</em></em>, no cry.<br>这里没有消息，没有低语，没有呼唤。<br><i>2</i>. She said it in a <em><em>whisper</em></em>, so I didn't hear.<br>她是悄声说的，所以我没有听见。<br><i>3</i>. I heard the <em><em>whisper</em></em> of wind in the pines.<br>我听见风吹过松林间飒飒作响。<br><i>4</i>. The children were <em><em>whisper</em></em>ing in the corner.<br>孩子们正在角落里低声耳语。<br><i>5</i>. Fatso leaned over to <em><em>whisper</em></em> in her ear.<br>胖子欠身对她耳语几句。<br>",yuhui
entrance,n. 入口,"n.入口；进入；登场；进入权<br>vt.使入迷；使狂喜<br><br><i>1</i>. There is an <em><em>entrance</em></em> just around the corner.<br>拐角处有个入口。<br><i>2</i>. I'll meet you at the <em><em>entrance</em></em> of the zoo tomorrow.<br>明天我会在动物园的入口处和你见面。<br><i>3</i>. A lighthouse marks the <em><em>entrance</em></em> to the harbour.<br>灯塔是进入海港航道的标志。<br><i>4</i>. The actress makes her <em><em>entrance</em></em> in Act 3.<br>女演员在第三幕登场。<br><i>5</i>. Her beauty entirely <em><em>entrance</em></em>s him.<br>她的美丽完全使他入迷了。<br>",yuhui
row,n. 排,n.排；划船；路；吵闹<br>v.划船；将...排成排；吵架<br><br><i>1</i>. Students stand hand in hand in a <em><em>row</em></em>.<br>学生们手牵手站成一排。<br><i>2</i>. He glanced towards the <em><em>row</em></em> of girls.<br>他拿眼把那一排女孩子一溜。<br><i>3</i>. They asked me to go for a <em><em>row</em></em> with them.<br>他们邀请我和他们一道去划船。<br><i>4</i>. Manor Row<br>庄园路<br><i>5</i>. Can you <em><em>row</em></em> me up/across the river?<br>你能划船将我送到河的上游/对岸吗?<br>,yuhui
goods,n. 貨物,"n.货物；商品；动产<br>n.罪证<br><br><i>1</i>. The <em><em>goods</em></em> were consigned to you by railway.<br>货物已由铁路托运到你处。<br><i>2</i>. Please honor our arrangement by exchanging the damaged <em><em>goods</em></em>.<br>请遵守我们的协议，给我们调换损坏的货物。<br><i>3</i>. Can the <em><em>goods</em></em> be refunded at your counter?<br>你们柜台的商品可以退吗？<br><i>4</i>. Our <em><em>goods</em></em> are second to none in the world market.<br>在国际市场上,我们的商品不亚于任何人。<br><i>5</i>. The authorities have got the <em><em>goods</em></em> on us.<br>当局拿到了我们的罪证。<br>",yuhui
shelves,n. 架子,"n.架子，搁板（名词shelf的复数）<br>v.放在架子上，搁置；倾斜（动词shelve的第三人称单数）<br><br><i>1</i>. It will take several firings to clear the <em><em>shelves</em></em> of all these pots.<br>把这些架上的陶罐全都烧好要烧好几窑。<br><i>2</i>. She bought some timber off-cuts to build kitchen <em><em>shelves</em></em>.<br>她买了一些木材下脚料做厨房用架子。<br><i>3</i>. The shore <em><em>shelves</em></em> down to the sea.<br>海岸向海面的倾斜角度很小。<br><i>4</i>. We haven't enough <em><em>shelves</em></em> to keep all our books on.<br>我们的书架不够用，放不下这麽多书。<br>",yuhui
aisle,n. 通道,"n.侧廊；(席位间的)通道<br><br><i>1</i>. It's down on the end of this <em><em>aisle</em></em>.<br>沿着这条走廊走到底就是。<br><i>2</i>. I think our seat is near the centre <em><em>aisle</em></em>.<br>我想我们的座位靠近中间走廊。<br><i>3</i>. The organ play as the bride come down the <em><em>aisle</em></em>.<br>当新娘沿著通道走过来时，风琴演奏了起来。<br><i>4</i>. The girl ushered me along the <em><em>aisle</em></em> to my seat.<br>引座小姐带领我沿著通道到我的座位上去。<br>",yuhui
narrow,adj 狹窄,adj.有限的；狭窄的；精密的；度量小的<br>n.海峡；隘路；狭窄部份<br>v.变窄<br><br><i>1</i>. The shop sells only a <em><em>narrow</em></em> range of goods.<br>这家商店商品的种类有限。<br><i>2</i>. The heavy traffic crawled through the <em><em>narrow</em></em> tunnel.<br>拥挤的车辆慢吞吞地穿过狭窄的隧道。<br><i>3</i>. The gate is too <em><em>narrow</em></em> for a car.<br>大门太窄，汽车进不去。<br><i>4</i>. What does the word mean in its <em><em>narrow</em></em>est sense?<br>这个词的最狭义的意思是什麽?<br><i>5</i>. This is a <em><em>narrow</em></em> sea that parts the French and English.<br>这是个分开法国和英国的海峡。<br><i>6</i>. They planed to <em><em>narrow</em></em> the gap between imports and exports.<br>他们计划缩小进出口的差额。<br>,yuhui
count,v. 計算,"v.计算；视为；依赖；重要，有价值<br>n.计数；总数<br>n.伯爵（欧洲国家的贵族头衔）<br><br><i>1</i>. Material control and cycle <em><em>count</em></em>.<br>基本掌握物料控制及周期计算知识。<br><i>2</i>. It's not humanly possible to <em><em>count</em></em> so quickly.<br>计算得这么快是人力无法做到的。<br><i>3</i>. Fruity cocktails <em><em>count</em></em> as health food, study finds.<br>研究发现，水果鸡尾酒可被视为健康食品。<br><i>4</i>. Since most <em><em>count</em></em>ries already have too many laws, a pause for parliamentary reflection might <em><em>count</em></em> as progress.<br>大多数地区已经立了太多的法律，中止国会审议工作或可视为一种进步。<br><i>5</i>. Take your blood <em><em>count</em></em> first, please.<br>请先做一次血球计数。<br><i>6</i>. The <em><em>count</em></em> lived in that big house.<br>伯爵曾经住在那幢大房子里。<br>",yuhui
town,n. 城市,"n.城市；城镇；（某一城镇的）居民；商业区<br><br><i>1</i>. The <em><em>town</em></em> was invaded by reporters.<br>这个城市涌进了大批记者。<br><i>2</i>. It's a great convenience to live in <em><em>town</em></em>.<br>住在城市里有很大的方便。<br><i>3</i>. Would you rather live in a <em><em>town</em></em>, or in the country?<br>你愿意住在城市还是乡下？<br><i>4</i>. The <em><em>town</em></em> has been designated a development area.<br>该城市已被定为开发区。<br>",yuhui
particularly,特別是,"adv.特别；尤其；详细地<br><br><i>1</i>. He isn't <em><em>particularly</em></em> smart.<br>他并不特别聪明。<br><i>2</i>. The instrumentation is <em><em>particularly</em></em> fine.<br>这首器乐曲编得特别细致。<br><i>3</i>. The house itself is not <em><em>particularly</em></em> to my mind, but I like its environment.<br>这房子本身并不特别合我的心意，但我喜欢它周围的环境。<br><i>4</i>. Regional policy has become a hot political issue, <em><em>particularly</em></em> in the past decade.<br>地方政策成了政治热点,尤其是在过去的十年间。<br>",yuhui
captivate,v. 吸引,"vt.迷住；迷惑<br><br><i>1</i>. He was <em><em>captivate</em></em>d by her beauty.<br>他被她的美色迷住了。<br><i>2</i>. The kindergarten children were <em><em>captivate</em></em>d by the variety of animals in the zoo.<br>幼儿园的孩子们被动物园里的各种动物吸引住了。<br><i>3</i>. The son is so <em><em>captivate</em></em> with the woman that he does not heed his parents' warning.<br>儿子为这个女人神魂颠倒，全然不顾他父母的告诫。<br>",yuhui
educational,adj. 教育性,"adj.教育的；有教育意义的<br><br><i>1</i>. I approve of his <em><em>educational</em></em> policies.<br>我赞成他的教育的政策。<br><i>2</i>. Economic progress is closely bound up with <em><em>educational</em></em> development.<br>经济的发达与教育的发展密切相关。<br><i>3</i>. These books on patriotism are very <em><em>educational</em></em>.<br>这批爱国主义题材的书籍很有教育意义。<br><i>4</i>. OK, and of course we think it's <em><em>educational</em></em>.<br>当然我认为有教育意义。<br>",yuhui
magnet,n. 磁鐵,n.磁铁；有吸引力的人（物）<br><br><i>1</i>. He picked all the pins up with a <em><em>magnet</em></em>.<br>他用磁铁捡起了所有的大头针。<br><i>2</i>. He was deeply attracted by the delicate cast of her features.<br>他的前途取决于这一机会。<br><i>3</i>. Forbidden City is a great <em><em>magnet</em></em> for foreign tourists.<br>紫禁城对外国旅游者来说是个有巨大吸引力的地方。<br><i>4</i>. The beautiful actress was the <em><em>magnet</em></em> that drew great audiences.<br>那个漂亮的女演员对很多观众都很有吸引力。<br>,yuhui
souvenir,n. 紀念品,n.纪念品<br><br><i>1</i>. Can you mail this <em><em>souvenir</em></em> to America for me?<br>您能帮我把这件纪念品邮到美国吗?<br><i>2</i>. I bought this bag as a <em><em>souvenir</em></em> of my visit to London.<br>我买了这个袋子作为访问伦敦的纪念品。<br><i>3</i>. My favorite <em><em>souvenir</em></em> is my key chain from China.<br>我最喜欢的纪念品是在中国买的钥匙链。<br>,yuhui
highlight,n. 重點 v 強調,vt.强调；照亮；加亮；使 ... 显得重要；使突出<br>n.加亮区；精彩部分；最重要的细节或事件；闪光点<br>[计算机] 醒目<br><br><i>1</i>. Both books <em><em>highlight</em></em> the human element of science.<br>两本书都重点谈到科学中人的因素。<br><i>2</i>. Mr Bush also wants to <em><em>highlight</em></em> African successes.<br>布什先生想突出强调一下非洲的成就。<br><i>3</i>. What would you <em><em>highlight</em></em> about them?<br>对于他们你想强调些什么呢?<br><i>4</i>. Of course we must <em><em>highlight</em></em> that the system can hardly be inaccurate.<br>当然我们必须强调这一点，即该系统根本不可能出错。<br><i>5</i>. It is one of the <em><em>highlight</em></em>s of the match.<br>这是比赛中最精彩的项目之一。<br>,yuhui
pluck,v .采,"v.摘；猛拉；拔；拨弹（乐器）<br>n.猛拉；勇气；动物内脏<br><br><i>1</i>. He <em><em>pluck</em></em>ed a rose for his lover.<br>他为情人摘了一朵玫瑰花。<br><i>2</i>. A stranger <em><em>pluck</em></em>ed at my sleeve as I was leaving.<br>我刚要离去，一个陌生人拽我的袖子。<br><i>3</i>. When you kill a chicken to eat, you have to <em><em>pluck</em></em> it.<br>当你杀鸡吃时，你得拔去鸡毛。<br><i>4</i>. Her long graceful fingers <em><em>pluck</em></em> the strings.<br>她的修长优雅的手指拉弦乐器。<br><i>5</i>. He felt a <em><em>pluck</em></em> on the fishing line<br>他感到鱼钩拉了一下。<br>",yuhui
charity,n. 慈善,"n.慈善；宽厚；慈善机关(团体)；仁慈<br><br><i>1</i>. They did so under the mask of <em><em>charity</em></em>.<br>他们是打着慈善的幌子这么做的。<br><i>2</i>. True <em><em>charity</em></em> doesn't consist in almsgiving.<br>真正的慈善不在于施舍。<br><i>3</i>. She was always very generous in her <em><em>charity</em></em>.<br>她行善时总是很慷慨。<br><i>4</i>. She regards his moral faults with <em><em>charity</em></em>.<br>她宽恕他的品行不端。<br>",yuhui
concert,n. 音樂會,n.音乐会；一致；和谐<br>vt.协定；协同安排<br>vi.合作<br><br><i>1</i>. The <em><em>concert</em></em> will be given on Saturday.<br>音乐会将于星期六举行。<br><i>2</i>. It is good to go to a <em><em>concert</em></em> for a change.<br>到音乐会去换换环境比较好。<br><i>3</i>. The newspaper gave much publicity to the <em><em>concert</em></em>.<br>报纸对这次音乐会进行了充分报道。<br><i>4</i>. They did not act in <em><em>concert</em></em> with one another.<br>他们的行动互不协调。<br><i>5</i>. We will get together to <em><em>concert</em></em> our differences.<br>我们将聚集一起协调分歧。<br><i>6</i>. He refused to <em><em>concert</em></em> with his partners.<br>他拒绝和他的伙伴们合作。<br>,yuhui
audience,n. 觀眾、聽眾,"n.听众；观众；读者；倾听；拥护者；正式会见<br><br><i>1</i>. The <em><em>audience</em></em> was no less than five thousand.<br>听众有五千人之多。<br><i>2</i>. Someone in the <em><em>audience</em></em> began to laugh.<br>观众中有人开始笑起来。<br><i>3</i>. The concert drew a large <em><em>audience</em></em>.<br>音乐会吸引了大量的观众。<br><i>4</i>. The article was put out in a national magazine to reach a larger <em><em>audience</em></em>.<br>为了能影响更多的读者,文章被登发在一份国家级杂志上。<br>",yuhui
novel,n. 小說,"n.小说<br>adj.新奇的<br><br><i>1</i>. The <em><em>novel</em></em> is considered a brilliant performance.<br>这部小说被认为是出色的佳作。<br><i>2</i>. I like reading <em><em>novel</em></em>s in my spare time.<br>我喜欢闲暇时读小说。<br><i>3</i>. This film is based on a <em><em>novel</em></em> by D.H.Lawrence.<br>这部影片是根据D.<br><i>4</i>. It's a <em><em>novel</em></em> idea.<br>那是个异常的想法。<br>",yuhui
interview,n. 面試,"n.面谈；会见；面试；接见<br>vt.接见；采访；对 ... 进行面试<br>vi.面试；采访<br><br><i>1</i>. How was your <em><em>interview</em></em> with Michigan?<br>你跟密歇根大学的人面谈得如何?<br><i>2</i>. He mentioned that problem at our <em><em>interview</em></em>s.<br>他在我们会谈时提到了那个问题。<br><i>3</i>. I think I fared quite well in the <em><em>interview</em></em>.<br>我觉得我这次面试考得不错。<br><i>4</i>. May I make a few preliminary remarks before we start the <em><em>interview</em></em>?<br>在我们开始面试之前，我先说几句话可以吗？<br><i>5</i>. In the prosecution of his duties, he had to <em><em>interview</em></em> people of all classes.<br>在履行职责的时候，他得会见各个阶级的人。<br><i>6</i>. I'm <em><em>interview</em></em>ing all this afternoon.<br>今天整个下午我都要进行面试。<br>",yuhui
fan,n. 粉絲,n.风扇；扇子；扇形物<br>n.迷；狂热爱好者<br>vt.扇；展开扇形；煽动<br>vi.成扇形；[棒]三振出局<br><br><i>1</i>. We have an extractor <em><em>fan</em></em> in the kitchen to get rid of the smell of cooking.<br>我们的厨房里有台排气扇，用来消除油烟。<br><i>2</i>. Please turn the electric <em><em>fan</em></em> on.<br>请打开电风扇。<br><i>3</i>. She glanced shyly at him from behind her <em><em>fan</em></em>.<br>她羞怯地从她的扇子后面看了他一眼。<br><i>4</i>. My boss is a football <em><em>fan</em></em>.<br>我的上司是一位足球迷。<br><i>5</i>. We <em><em>fan</em></em>ned the fire to make it burn brighter.<br>我们把炉火扇得更旺。<br><i>6</i>. The soldiers <em><em>fan</em></em>ned out across the hillside in their search for the man.<br>士兵们在山腰上成扇形散开，搜索那个男人。<br>,yuhui
come up with,v. 提出來,赶上；提出；想出<br><br><i>1</i>. I had to run to <em><em>come up with</em></em> him.<br>我得跑才能赶上他。<br><i>2</i>. He came up with good ideas for the product promotion.<br>他想出一个推广产品的好方法。<br><i>3</i>. No one has <em><em>come up with</em></em> a convincing explanation of why dinosaur died out.<br>尚未有人能对恐龙的灭绝作出一个令人信服的解释。<br><i>4</i>. The scientists are beating their brains trying to <em><em>come up with</em></em> a solution to the problem.<br>科学家正绞尽脑汁，力求找到解决这个问题的办法。<br>,yuhui
take note,v. 做筆記、記起來,留意，注意到<br><br>,yuhui
conversation,n. 會話,n.谈话；会话<br><br><i>1</i>. I listened to their <em><em>conversation</em></em>.<br>我倾听他们的谈话。<br><i>2</i>. Did you have a <em><em>conversation</em></em> with him?<br>你和他谈过话了吗？<br><i>3</i>. The band drowned our <em><em>conversation</em></em>.<br>乐队的演奏声把我们谈话的声音淹没了。<br><i>4</i>. His French has come on a lot since he joined the <em><em>conversation</em></em> class.<br>他自从参加了会话班，法语取得了很大进步。<br>,yuhui
speech,n. 演講,n.演说；演讲；言语；语言能力<br><br><i>1</i>. The mayor made a <em><em>speech</em></em> at the opening.<br>市长在开幕式上发表了演说。<br><i>2</i>. The speaker will soon wind up his <em><em>speech</em></em>.<br>演说者就要结束他的讲话了。<br><i>3</i>. I had to give a <em><em>speech</em></em> to the press club.<br>我得向记者俱乐部发表演说。<br><i>4</i>. He closed his <em><em>speech</em></em> with a funny joke.<br>他用一则有趣的笑话结束了演讲。<br>,yuhui
